OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
05000051003,2,UVW1,image,1,2021-10-02T08:47:22,2021-10-02T08:48:56,2021-10-02T08:48:09.000,92.4962108836721,1200,74.4406972800466,31.9133321584282,78.9899397058867,DIRECT,False,False,False,669.9362687630828,628.296790449276,74.4417,31.91579,5.46815625151025,5.918109045917,112.11
05000052001,1,V,image,1,2021-10-02T17:55:18,2021-10-02T17:58:48,2021-10-02T17:57:03.000,206.460422253015,600,74.4109798209752,31.9495151179846,79.0156307247036,DIRECT,False,False,False,584.0353228747326,527.9452370326352,74.44202,31.923,5.46277348848527,5.918217745851,112.4748
05000052001,1,V,image,2,2021-10-02T17:58:52,2021-10-02T17:58:55,2021-10-02T17:58:53.500,3.68115042576868,2200,74.4109798209752,31.9495151179846,79.0156307247036,DIRECT,False,False,False,579.1047629050747,521.3601294997682,74.44199,31.92304,5.46275062956486,5.918218110607,112.4763
05000052002,1,UVW1,image,1,2021-10-02T17:59:36,2021-10-02T18:03:55,2021-10-02T18:01:45.500,255.173447874512,1200,74.4376164630143,31.925244311662,78.9879711453851,DIRECT,False,False,False,658.4040190972805,613.8480504187016,74.44192,31.92311,5.46271578125083,5.91821867837,112.4785
05000052003,1,V grism,image,1,2021-10-02T18:04:19,2021-10-02T18:21:15,2021-10-02T18:12:47.000,999.757904027942,955,74.4431831866955,31.9217460837198,79.0053056755103,NONE,False,False,False,561.356578861709,1554.7466711851987,74.44156,31.92334,5.46259353246445,5.918220861934,112.4877
05000052003,2,UVW1,image,1,2021-10-02T18:21:21,2021-10-02T18:22:56,2021-10-02T18:22:08.500,92.5613076601927,1200,74.4431831866955,31.9217460837198,79.0053056755103,DIRECT,False,False,False,678.5021175844244,628.2902655374846,74.44121,31.9235,5.46250749709676,5.918222715383,112.4955
05000056001,1,V,image,1,2021-10-03T06:41:58,2021-10-03T06:43:00,2021-10-03T06:42:29.000,61.7763490743658,600,74.417643652199,31.9814353842038,78.9764829865222,DIRECT,False,False,False,607.175227868496,450.4785938867863,74.44059,31.93318,5.45526171947193,5.918369363975,112.9896
05000056001,1,V,image,2,2021-10-03T06:43:03,2021-10-03T06:43:55,2021-10-03T06:43:29.000,51.5472282919363,600,74.417643652199,31.9814353842038,78.9764829865222,DIRECT,False,False,False,601.0464819323093,439.195770752182,74.44057,31.9332,5.45524940874756,5.918369562089,112.9904
05000056002,1,UVW1,image,1,2021-10-03T06:44:19,2021-10-03T06:48:55,2021-10-03T06:46:37.000,272.460920447055,1200,74.4411174712684,31.9302487649559,79.0157228013247,DIRECT,False,False,False,673.8959042542757,630.8225139061385,74.44049,31.93327,5.45521157312554,5.918370182846,112.9929
05000056003,1,V grism,image,1,2021-10-03T06:49:20,2021-10-03T07:04:27,2021-10-03T06:56:53.500,892.461227019427,955,74.4390737529705,31.9333287474764,78.9970362440142,NONE,False,False,False,546.7374456873733,1541.600937195278,74.44013,31.9335,5.45509813351599,5.918372218454,113.0014
